problem_id,source,target,prev_source,prev_target
mawps-341,How many seashells does Tim now have?,"container ( tim , None , seashell , None , None )",He gave 172 of the seashells to Sara.,"transfer ( sara , tim , 172 , seashell , None , None )"
mawps-156,Joan has 8 orange balloons but lost 2 of them.,"container ( joan , 8 , balloon , orange , None ) transfer ( None , joan , 2 , balloon , orange , None )",,
mawps-156,How many orange balloons does Joan have now?,"container ( joan , None , balloon , orange , None )",Joan has 8 orange balloons but lost 2 of them.,"container ( joan , 8 , balloon , orange , None ) transfer ( None , joan , 2 , balloon , orange , None )"
mawps-101,A magician was selling magic card decks for 9 dollars each.,"container ( magician , None , money , None , dollar )",,
mawps-101,"If he started with 12 decks and by the end of the day he had 7 left,","container ( magician , 12 , deck , magic , None ) container ( magician , 7 , deck , magic , None ) transfer ( None , magician , None , deck , magic , None ) rate ( magician , 9 , money , None , dollar , deck , magic , None )",A magician was selling magic card decks for 9 dollars each.,"container ( magician , None , money , None , dollar )"
mawps-101,how much money did he earn?,"container ( magician , None , money , None , dollar )","If he started with 12 decks and by the end of the day he had 7 left,","container ( magician , 12 , deck , magic , None ) container ( magician , 7 , deck , magic , None ) transfer ( None , magician , None , deck , magic , None ) rate ( magician , 9 , money , None , dollar , deck , magic , None )"
mawps-117,Larry starts with 91 cards.,"container ( larry , 91 , card , None , None )",,
mawps-117,17 are eaten by a hippopotamus.,"transfer ( None , larry , 17 , card , hippopotamus , None )",Larry starts with 91 cards.,"container ( larry , 91 , card , None , None )"
mawps-117,How many cards does Larry end with?,"container ( larry , None , card , None , None )",17 are eaten by a hippopotamus.,"transfer ( None , larry , 17 , card , hippopotamus , None )"
mawps-44,Paul had saved up 4 dollars.,"container ( paul , 4 , money , None , dollar )",,
mawps-44,"If he received another 11 dollars for his allowance,","transfer ( paul , None , 11 , money , allowance , dollar )",Paul had saved up 4 dollars.,"container ( paul , 4 , money , None , dollar )"
mawps-44,how many 5 dollar toys could he buy?,"rate ( paul , 5 , money , None , dollar , toy , None , None ) container ( paul , None , toy , None , None )","If he received another 11 dollars for his allowance,","transfer ( paul , None , 11 , money , allowance , dollar )"
mawps-510,"While making desserts for a bake sale, Victor used 0.625 scoop of brown sugar as well as 0.25 scoop of white sugar.","container ( victor , 0.625 , sugar , brown , scoop ) container ( victor , 0.25 , sugar , white , scoop )",,
mawps-510,How much more brown sugar did Victor use?,"difference ( victor , victor , None , sugar , brown , scoop , sugar , white , scoop )","While making desserts for a bake sale, Victor used 0.625 scoop of brown sugar as well as 0.25 scoop of white sugar.","container ( victor , 0.625 , sugar , brown , scoop ) container ( victor , 0.25 , sugar , white , scoop )"
mawps-140,Bianca was planting vegetables in her garden.,,,
mawps-140,She started with 52 seeds and planted 40 of them in the big garden and in each of her small gardens put 2 seeds each.,"container ( bianca , 52 , seed , None , None ) container ( bianca , 40 , seed , big garden , None ) container ( bianca , None , seed , small garden , None ) part ( bianca , seed , None , None , bianca , seed , big garden , None , bianca , seed , small garden , None ) container ( bianca , None , garden , small , None ) rate ( bianca , 2 , seed , None , None , garden , small , None )",Bianca was planting vegetables in her garden.,
mawps-140,How many small gardens did Bianca have?,"container ( bianca , None , garden , small , None )",She started with 52 seeds and planted 40 of them in the big garden and in each of her small gardens put 2 seeds each.,"container ( bianca , 52 , seed , None , None ) container ( bianca , 40 , seed , big garden , None ) container ( bianca , None , seed , small garden , None ) part ( bianca , seed , None , None , bianca , seed , big garden , None , bianca , seed , small garden , None ) container ( bianca , None , garden , small , None ) rate ( bianca , 2 , seed , None , None , garden , small , None )"
mawps-13,Sean has 9 apples.,"container ( sean , 9 , apple , None , None )",,
mawps-13,Susan gives Sean 8 more.,"transfer ( sean , susan , 8 , apple , None , None )",Sean has 9 apples.,"container ( sean , 9 , apple , None , None )"
mawps-13,"Later, Sean buys 18 tickets at the store.","transfer ( sean , None , 18 , ticket , None , None )",Susan gives Sean 8 more.,"transfer ( sean , susan , 8 , apple , None , None )"
mawps-13,How many apples does Sean have in all?,"container ( sean , None , apple , None , None )","Later, Sean buys 18 tickets at the store.","transfer ( sean , None , 18 , ticket , None , None )"
mawps-269,"On Saturday, Sara spent $10.62 each on 2 tickets to a movie theater.","container ( sara , 2 , ticket , None , None ) rate ( sara , 10.62 , money , None , $ , ticket , None , None )",,
mawps-269,"Sara also rented a movie for $1.59, and bought a movie for $13.95.","container ( sara , 1.59 , money , rented a movie , $ ) container ( sara , 13.95 , money , bought a movie , $ )","On Saturday, Sara spent $10.62 each on 2 tickets to a movie theater.","container ( sara , 2 , ticket , None , None ) rate ( sara , 10.62 , money , None , $ , ticket , None , None )"
mawps-269,How much money in total did Sara spend on movies?,"container ( sara , None , money , None , $ ) part ( sara , money , None , $ , sara , money , None , $ , sara , money , rented a movie , $ , sara , money , bought a movie , $ )","Sara also rented a movie for $1.59, and bought a movie for $13.95.","container ( sara , 1.59 , money , rented a movie , $ ) container ( sara , 13.95 , money , bought a movie , $ )"
mawps-137,Joan's cat had 8 kittens.,"container ( joan's cat , 8 , kitten , None , None )",,
mawps-137,She gave 2 to her friends.,"transfer ( None , joan's cat , 2 , kitten , None , None )",Joan's cat had 8 kittens.,"container ( joan's cat , 8 , kitten , None , None )"
mawps-137,How many kittens does she have now?,"container ( joan's cat , None , kitten , None , None )",She gave 2 to her friends.,"transfer ( None , joan's cat , 2 , kitten , None , None )"
mawps-249,A restaurant served 9 pizzas during lunch and 6 during dinner today.,"container ( restaurant , 9 , pizza , lunch , None ) container ( restaurant , 6 , pizza , dinner , None )",,
mawps-249,How many pizzas were served today?,"container ( restaurant , None , pizza , None , None ) part ( restaurant , pizza , None , None , restaurant , pizza , lunch , None , restaurant , pizza , dinner , None )",A restaurant served 9 pizzas during lunch and 6 during dinner today.,"container ( restaurant , 9 , pizza , lunch , None ) container ( restaurant , 6 , pizza , dinner , None )"
mawps-33,Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon.,"container ( lino , 292 , shell , morning , None ) container ( lino , 324 , shell , afternoon , None )",,
mawps-33,How many shells did he pick up in all?,"container ( lino , None , shell , None , None ) part ( lino , shell , None , None , lino , shell , morning , None , lino , shell , afternoon , None )",Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon.,"container ( lino , 292 , shell , morning , None ) container ( lino , 324 , shell , afternoon , None )"
mawps-25,Sandy sold lemonade in her neighborhood.,,,
mawps-25,She got 17 half-dollars on Saturday and 6 half-dollars on Sunday.,"container ( sandy , 17/2 , money , Saturday , dollar ) container ( sandy , 3 , money , Sunday , dollar ) container ( sandy , None , money , Sunday , dollar ) part ( sandy , money , Sunday , dollar , sandy , money , Saturday , dollar , sandy , money , Sunday , dollar )",Sandy sold lemonade in her neighborhood.,
mawps-25,What amount of money did Sandy receive?,"container ( sandy , None , money , Sunday , dollar )",She got 17 half-dollars on Saturday and 6 half-dollars on Sunday.,"container ( sandy , 17/2 , money , Saturday , dollar ) container ( sandy , 3 , money , Sunday , dollar ) container ( sandy , None , money , Sunday , dollar ) part ( sandy , money , Sunday , dollar , sandy , money , Saturday , dollar , sandy , money , Sunday , dollar )"
mawps-5,Maggi had 3 packages of cupcakes.,"container ( maggi , 3 , package , cupcake , None )",,
mawps-5,There are 4 cupcakes in each package.,"rate ( maggi , 4 , cupcake , None , None , package , None , None )",Maggi had 3 packages of cupcakes.,"container ( maggi , 3 , package , cupcake , None )"
mawps-5,She ate 5 cupcakes.,"transfer ( None , maggi , 5 , cupcake , None , None )",There are 4 cupcakes in each package.,"rate ( maggi , 4 , cupcake , None , None , package , None , None )"
mawps-5,How many are left?,"container ( maggi , None , cupcake , None , None )",She ate 5 cupcakes.,"transfer ( None , maggi , 5 , cupcake , None , None )"
mawps-199,Some insects called aphids attack a large farm.,,,
mawps-199,"In response, the farmer releases ladybugs onto the fields.",,Some insects called aphids attack a large farm.,
mawps-199,There are 12170 ladybugs with spots and 54912 ladybugs without spots.,"container ( world , 12170 , ladybug , spot , None ) container ( world , 54912 , ladybug , without spot , None )","In response, the farmer releases ladybugs onto the fields.",
mawps-199,How many ladybugs are there in all?,"container ( world , None , ladybug , None , None ) part ( world , ladybug , None , None , world , ladybug , spot , None , world , ladybug , without spot , None )",There are 12170 ladybugs with spots and 54912 ladybugs without spots.,"container ( world , 12170 , ladybug , spot , None ) container ( world , 54912 , ladybug , without spot , None )"
mawps-208,Each chocolate bar in a box cost $2.,"rate ( world , 2 , cost , None , $ , chocolate bar , None , None )",,
mawps-208,"If a box had 13 bars total and Rachel sold all but 4 bars,","container ( world , 13 , chocolate bar , box , None ) container ( world , 4 , chocolate bar , box , None ) transfer ( None , world , None , chocolate bar , Rachel , None )",Each chocolate bar in a box cost $2.,"rate ( world , 2 , cost , None , $ , chocolate bar , None , None )"
mawps-208,how much money would she have made?,"rate ( world , 2 , cost , None , $ , chocolate bar , None , None ) container ( world , None , cost , None , $ )","If a box had 13 bars total and Rachel sold all but 4 bars,","container ( world , 13 , chocolate bar , box , None ) container ( world , 4 , chocolate bar , box , None ) transfer ( None , world , None , chocolate bar , Rachel , None )"
mawps-658,A waiter had 33 customers to wait on.,"container ( waiter , 33 , Customer , None , None )",,
mawps-658,"If 31 customers left and he got another 26 customers,","transfer ( None , waiter , 31 , Customer , None , None ) transfer ( waiter , None , 26 , Customer , None , None )",A waiter had 33 customers to wait on.,"container ( waiter , 33 , Customer , None , None )"
mawps-658,how many customers would he have?,"container ( waiter , None , Customer , None , None )","If 31 customers left and he got another 26 customers,","transfer ( None , waiter , 31 , Customer , None , None ) transfer ( waiter , None , 26 , Customer , None , None )"
mawps-72,Each child has 5 bottle caps.,"rate ( world , 5 , bottle cap , None , None , child , None , None )",,
mawps-72,"If there are 9 children,","container ( world , 9 , child , None , None )",Each child has 5 bottle caps.,"rate ( world , 5 , bottle cap , None , None , child , None , None )"
mawps-72,how many bottle caps are there in total?,"container ( world , None , bottle cap , None , None )","If there are 9 children,","container ( world , 9 , child , None , None )"
mawps-121,Melanie grew 139 turnips.,"container ( melanie , 139 , turnip , None , None )",,
mawps-121,Benny grew 113 turnips.,"container ( benny , 113 , turnip , None , None )",Melanie grew 139 turnips.,"container ( melanie , 139 , turnip , None , None )"
mawps-121,How many turnips did they grow in all?,"container ( they , None , turnip , None , None ) part ( they , turnip , None , None , melanie , turnip , None , None , benny , turnip , None , None )",Benny grew 113 turnips.,"container ( benny , 113 , turnip , None , None )"
mawps-336,Melanie picked 7 plums and 4 oranges from the orchard.,"container ( melanie , 7 , plum , None , None ) container ( melanie , 4 , orange , None , None )",,
mawps-336,She gave 3 plums to Sam.,"transfer ( sam , melanie , 3 , plum , None , None )",Melanie picked 7 plums and 4 oranges from the orchard.,"container ( melanie , 7 , plum , None , None ) container ( melanie , 4 , orange , None , None )"
mawps-336,How many plums does she have now?,"container ( melanie , None , plum , None , None )",She gave 3 plums to Sam.,"transfer ( sam , melanie , 3 , plum , None , None )"
mawps-361,Kaleb bought 14 boxes of chocolate candy and gave 5 to his little brother.,"container ( kaleb , 14 , chocolate candy , None , box ) transfer ( None , kaleb , 5 , chocolate candy , None , box )",,
mawps-361,"If each box has 6 pieces inside it,","container ( kaleb , None , chocolate candy , None , piece )",Kaleb bought 14 boxes of chocolate candy and gave 5 to his little brother.,"container ( kaleb , 14 , chocolate candy , None , box ) transfer ( None , kaleb , 5 , chocolate candy , None , box )"
mawps-361,how many pieces did Kaleb still have?,"rate ( kaleb , 6 , chocolate candy , None , piece , chocolate candy , None , box ) container ( kaleb , None , chocolate candy , None , piece )","If each box has 6 pieces inside it,","container ( kaleb , None , chocolate candy , None , piece )"
mawps-377,"Mary, Sam, Keith, and Alyssa each have 6 baseball cards.","container ( mary , 6 , card , baseball , None ) container ( sam , 6 , card , baseball , None ) container ( keith , 6 , card , baseball , None ) container ( alyssa , 6 , card , baseball , None )",,
mawps-377,How many baseball cards do they have in all?,"container ( all , None , card , baseball , None ) part ( all , card , baseball , None , mary , card , baseball , None , sam , card , baseball , None , keith , card , baseball , None , alyssa , card , baseball , None )","Mary, Sam, Keith, and Alyssa each have 6 baseball cards.","container ( mary , 6 , card , baseball , None ) container ( sam , 6 , card , baseball , None ) container ( keith , 6 , card , baseball , None ) container ( alyssa , 6 , card , baseball , None )"
mawps-48,For Halloween Bianca received 78 pieces of candy.,"container ( bianca , 78 , candy , None , piece )",,
mawps-48,She ate 30 pieces then placed the rest into piles with 8 in each pile.,"transfer ( None , bianca , 30 , candy , None , piece ) rate ( bianca , 8 , candy , None , piece , pile , None , None )",For Halloween Bianca received 78 pieces of candy.,"container ( bianca , 78 , candy , None , piece )"
mawps-48,How many piles could she make?,"container ( bianca , None , pile , None , None )",She ate 30 pieces then placed the rest into piles with 8 in each pile.,"transfer ( None , bianca , 30 , candy , None , piece ) rate ( bianca , 8 , candy , None , piece , pile , None , None )"
mawps-232,William has 10 marbles.,"container ( william , 10 , marble , None , None )",,
mawps-232,He shares 3 with Theresa.,"transfer ( theresa , william , 3 , marble , None , None )",William has 10 marbles.,"container ( william , 10 , marble , None , None )"
mawps-232,How many marbles will William have?,"container ( william , None , marble , None , None )",He shares 3 with Theresa.,"transfer ( theresa , william , 3 , marble , None , None )"
mawps-320,"Melanie, Benny, Sally, and Jessica each have 3 baseball cards.","container ( melanie , 3 , baseball card , None , None ) container ( benny , 3 , baseball card , None , None ) container ( sally , 3 , baseball card , None , None ) container ( jessica , 3 , baseball card , None , None )",,
mawps-320,How many baseball cards do they have in all?,"container ( they , None , baseball card , None , None ) part ( they , baseball card , None , None , melanie , baseball card , None , None , benny , baseball card , None , None , sally , baseball card , None , None , jessica , baseball card , None , None )","Melanie, Benny, Sally, and Jessica each have 3 baseball cards.","container ( melanie , 3 , baseball card , None , None ) container ( benny , 3 , baseball card , None , None ) container ( sally , 3 , baseball card , None , None ) container ( jessica , 3 , baseball card , None , None )"
mawps-459,The cafeteria had 50 apples.,"container ( cafeteria , 50 , apple , None , None )",,
mawps-459,For lunch they handed out 5 to students and decided to use the rest to make pies.,"transfer ( None , cafeteria , 5 , apple , student , None )",The cafeteria had 50 apples.,"container ( cafeteria , 50 , apple , None , None )"
mawps-459,"If each pie takes 5 apples,","rate ( cafeteria , 5 , apple , None , None , pie , None , None )",For lunch they handed out 5 to students and decided to use the rest to make pies.,"transfer ( None , cafeteria , 5 , apple , student , None )"
mawps-459,how many pies could they make?,"container ( cafeteria , None , pie , None , None )","If each pie takes 5 apples,","rate ( cafeteria , 5 , apple , None , None , pie , None , None )"
mawps-321,She counted her crayons and found out that she has 80 crayons which she will place in crayon boxes.,"container ( she , 80 , crayon , None , None )",,
mawps-321,Every box can contain 8 crayons.,"rate ( she , 8 , crayon , None , None , box , None , None )",She counted her crayons and found out that she has 80 crayons which she will place in crayon boxes.,"container ( she , 80 , crayon , None , None )"
mawps-321,How many boxes does she need?,"container ( she , None , box , None , None )",Every box can contain 8 crayons.,"rate ( she , 8 , crayon , None , None , box , None , None )"
mawps-264,Tom has 9 yellow balloons.,"container ( tom , 9 , balloon , yellow , None )",,
mawps-264,Sara has 8 yellow balloons.,"container ( sara , 8 , balloon , yellow , None )",Tom has 9 yellow balloons.,"container ( tom , 9 , balloon , yellow , None )"
mawps-264,How many yellow balloons do they have in total?,"container ( they , None , balloon , yellow , None ) part ( they , balloon , yellow , None , tom , balloon , yellow , None , sara , balloon , yellow , None )",Sara has 8 yellow balloons.,"container ( sara , 8 , balloon , yellow , None )"
mawps-376,There are 7 dogwood trees currently in the park.,"container ( park , 7 , tree , dogwood , None )",,
mawps-376,Park workers will plant 5 dogwood trees today and 4 dogwood trees tomorrow.,"transfer ( park , None , 5 , tree , dogwood , None ) transfer ( park , None , 4 , tree , dogwood , None )",There are 7 dogwood trees currently in the park.,"container ( park , 7 , tree , dogwood , None )"
mawps-376,It took 8 workers to finish the work.,"container ( park , 8 , worker , None , None )",Park workers will plant 5 dogwood trees today and 4 dogwood trees tomorrow.,"transfer ( park , None , 5 , tree , dogwood , None ) transfer ( park , None , 4 , tree , dogwood , None )"
mawps-376,How many dogwood trees will the park have when the workers are finished?,"container ( park , None , tree , dogwood , None )",It took 8 workers to finish the work.,"container ( park , 8 , worker , None , None )"
mawps-233,Oliver had 33 dollars in January.,"container ( oliver , 33 , money , January , dollar )",,
mawps-233,By March he had spent 4 dollars.,"transfer ( None , oliver , 4 , money , None , dollar )",Oliver had 33 dollars in January.,"container ( oliver , 33 , money , January , dollar )"
mawps-233,"If he got another 32 dollars from his mom,","transfer ( oliver , None , 32 , money , mom , dollar )",By March he had spent 4 dollars.,"transfer ( None , oliver , 4 , money , None , dollar )"
mawps-233,how much money would he have?,"container ( oliver , None , money , None , dollar )","If he got another 32 dollars from his mom,","transfer ( oliver , None , 32 , money , mom , dollar )"
mawps-225,Fred found 47 seashells on the beach.,"container ( fred , 47 , seashell , None , None )",,
mawps-225,He gave Jessica 25 of the seashells.,"transfer ( jessica , fred , 25 , seashell , None , None )",Fred found 47 seashells on the beach.,"container ( fred , 47 , seashell , None , None )"
mawps-225,How many seashells does he now have?,"container ( fred , None , seashell , None , None )",He gave Jessica 25 of the seashells.,"transfer ( jessica , fred , 25 , seashell , None , None )"
mawps-272,"At the beach, Janet and her sister both built sandcastles and then measured their heights.",,,
mawps-272,Janet's sandcastle was 11/3 feet tall.,"container ( janet , 11/3 , height , sandcastle , feet )","At the beach, Janet and her sister both built sandcastles and then measured their heights.",
mawps-272,Her sister's was 7/3 feet tall.,"container ( janet's sister , 7/3 , height , sandcastle , feet )",Janet's sandcastle was 11/3 feet tall.,"container ( janet , 11/3 , height , sandcastle , feet )"
mawps-272,How much taller was Janet's sandcastle than her sister's?,"difference ( janet , janet's sister , None , height , None , feet , height , None , feet )",Her sister's was 7/3 feet tall.,"container ( janet's sister , 7/3 , height , sandcastle , feet )"
mawps-120,Jerry is at the library helping put away books.,,,
mawps-120,There are 34 book to put away total.,"container ( jerry , 34 , book , None , None )",Jerry is at the library helping put away books.,
mawps-120,A librarian takes 7 of them and leaves Jerry with the rest.,"transfer ( None , jerry , 7 , book , librarian , None )",There are 34 book to put away total.,"container ( jerry , 34 , book , None , None )"
mawps-120,"If he can fit 3 books on a shelf,","rate ( jerry , 3 , book , None , None , shelf , None , None )",A librarian takes 7 of them and leaves Jerry with the rest.,"transfer ( None , jerry , 7 , book , librarian , None )"
mawps-120,how many shelves will he need?,"container ( jerry , None , shelf , None , None )","If he can fit 3 books on a shelf,","rate ( jerry , 3 , book , None , None , shelf , None , None )"
mawps-209,A pet store has 6 bird cages.,"container ( pet store , 6 , bird cage , None , None )",,
mawps-209,"If each cage has 2 parrots and 7 parakeets in it,","container ( pet store , None , bird , parrot , None ) container ( pet store , None , bird , parakeet , None ) container ( pet store , None , bird , None , None ) part ( pet store , bird , None , None , pet store , bird , parrot , None , pet store , bird , parakeet , None ) rate ( pet store , 2 , bird , parrot , None , bird cage , None , None ) rate ( pet store , 7 , bird , parakeet , None , bird cage , None , None )",A pet store has 6 bird cages.,"container ( pet store , 6 , bird cage , None , None )"
mawps-209,how many birds does the pet store have total?,"container ( pet store , None , bird , None , None )","If each cage has 2 parrots and 7 parakeets in it,","container ( pet store , None , bird , parrot , None ) container ( pet store , None , bird , parakeet , None ) container ( pet store , None , bird , None , None ) part ( pet store , bird , None , None , pet store , bird , parrot , None , pet store , bird , parakeet , None ) rate ( pet store , 2 , bird , parrot , None , bird cage , None , None ) rate ( pet store , 7 , bird , parakeet , None , bird cage , None , None )"
mawps-198,Bobby has 142 books.,"container ( bobby , 142 , book , None , None )",,
mawps-198,Kristi has 78 books.,"container ( kristi , 78 , book , None , None )",Bobby has 142 books.,"container ( bobby , 142 , book , None , None )"
mawps-198,How many more books does Bobby have than Kristi?,"difference ( bobby , kristi , None , book , None , None , book , None , None )",Kristi has 78 books.,"container ( kristi , 78 , book , None , None )"
mawps-177,Lillian collects 88 candies.,"container ( lillian , 88 , candy , None , None )",,
mawps-177,Lillian's father gives Lillian 5 more.,"transfer ( lillian , None , 5 , candy , None , None )",Lillian collects 88 candies.,"container ( lillian , 88 , candy , None , None )"
mawps-177,How many candies does Lillian have?,"container ( lillian , None , candy , None , None )",Lillian's father gives Lillian 5 more.,"transfer ( lillian , None , 5 , candy , None , None )"
mawps-24,Roden went to a pet shop.,,,
mawps-24,He bought 15 gold fish and 7 blue fish.,"container ( roden , 15 , fish , gold , None ) container ( roden , 7 , fish , blue , None )",Roden went to a pet shop.,
mawps-24,How many fish did he buy?,"container ( roden , None , fish , None , None ) part ( roden , fish , None , None , roden , fish , gold , None , roden , fish , blue , None )",He bought 15 gold fish and 7 blue fish.,"container ( roden , 15 , fish , gold , None ) container ( roden , 7 , fish , blue , None )"
